peso,altezza,bmi
93.71,0.94,106.06
132.99,0.45,656.75
2.43,1.44,1.18
2.83,0.54,9.71
2.4,1.0,2.4
2.8,0.58,8.33
3.91,0.65,9.26
2.4,1.08,2.06
3.45,2.19,0.72
2.4,0.73,4.51
12.59,2.5,2.02
2.4,0.59,6.9
11.27,1.75,3.68
2.49,0.79,3.99
2.41,0.57,7.42
379.46,0.43,2052.25
500.0,0.44,2582.65
93.16,0.53,331.65
87.21,0.94,98.7
171.58,0.64,418.9
182.58,0.58,542.75
2.93,2.5,0.47
357.92,1.0,357.92
2.58,1.05,2.35
64.86,0.4,405.38
23.22,0.4,145.13
57.52,0.62,149.64
3.99,2.41,0.69
196.81,0.46,930.11
50.17,0.5,200.68
98.86,0.54,339.03
2.4,2.5,0.39
2.99,0.82,4.45
361.58,0.44,1867.67
4.43,1.51,1.95
5.03,1.0,5.03
2.98,1.02,2.87
2.61,0.59,7.5
3.45,1.68,1.23
217.51,0.57,669.47
3.77,2.34,0.69
500.0,1.51,219.29
2.43,1.12,1.94
88.02,0.45,434.67
6.87,2.41,1.19
2.63,0.76,4.56
54.58,0.44,281.93
3.69,1.15,2.8
260.27,1.02,250.17
500.0,1.0,500.0
2.4,2.3,0.46
492.67,0.56,1571.02
2.73,0.56,8.71
33.76,2.29,6.44
197.03,0.82,293.03
442.49,0.71,877.79
93.19,1.04,86.16
351.95,0.73,660.45
357.86,1.82,108.04
2.52,0.52,9.32
38.61,0.4,241.32
20.38,2.26,4.0
396.63,0.55,1311.18
90.25,0.61,242.55
153.19,0.96,166.23
500.0,0.4,3125.0
24.98,0.4,156.13
3.32,0.98,3.46
3.33,0.58,9.9
434.97,0.56,1387.03
2.76,1.0,2.76
40.45,0.41,240.64
102.92,0.85,142.45
118.47,0.53,421.76
2.52,2.5,0.41
2.61,1.07,2.28
50.8,0.75,90.32
2.41,2.27,0.47
237.97,0.51,914.92
2.59,0.65,6.14
18.85,0.41,112.14
332.43,0.52,1229.41
2.42,0.71,4.81
2.4,1.58,0.97
2.94,2.48,0.48
2.95,0.63,7.44
2.4,1.84,0.71
15.91,0.4,99.44
56.21,0.6,156.14
4.01,0.99,4.1
2.42,1.0,2.42
202.62,0.52,749.34
170.83,0.51,656.79
440.3,0.92,520.21
387.9,0.6,1077.5
2.57,1.78,0.82
27.54,1.67,9.88
168.83,0.76,292.3
3.81,2.05,0.91
223.93,0.49,932.66
111.63,0.43,603.74
2.62,1.13,2.06
166.03,0.46,784.65
2.45,0.84,3.48
2.4,1.9,0.67
3.87,0.8,6.05
56.94,2.5,9.12
360.66,0.42,2044.56
2.44,2.44,0.41
304.82,1.02,292.99
439.85,1.04,406.67
2.84,1.07,2.49
4.2,1.18,3.02
2.58,1.7,0.9
500.0,0.53,1780.0
20.57,0.4,128.57
4.0,0.98,4.17
