peso,altezza,bmi
4.19,0.44,21.65
5.61,0.49,23.37
233.94,2.18,49.23
2.44,0.41,14.52
7.19,0.44,37.14
16.86,0.92,19.92
4.85,0.41,28.86
2.81,0.46,13.28
2.4,0.4,15.0
4.38,0.46,20.7
138.29,1.75,45.16
20.02,0.52,74.04
17.49,0.58,52.0
8.8,0.92,10.4
12.64,1.0,12.64
6.22,0.55,20.57
46.36,0.9,57.24
6.72,0.51,25.84
2.42,0.45,11.96
12.86,0.45,63.51
3.71,0.56,11.84
3.87,0.49,16.12
2.41,0.4,15.07
3.37,0.45,16.65
34.74,0.91,41.96
3.02,0.5,12.08
7.68,0.44,39.67
135.31,2.16,29.01
2.46,0.41,14.64
3.05,0.45,15.07
2.54,0.41,15.12
4.03,0.45,19.91
4.83,0.4,30.19
7.46,0.41,44.38
3.65,0.48,15.85
17.84,0.52,65.98
19.17,1.0,19.18
2.4,0.46,11.35
500.0,2.5,80.0
3.02,0.44,15.6
3.89,0.59,11.18
2.92,0.4,18.25
3.75,0.4,23.44
2.72,0.47,12.32
5.23,0.4,32.69
47.79,1.97,12.32
97.35,1.72,32.91
5.01,0.43,27.1
2.43,0.42,13.78
2.4,0.4,15.0
46.91,0.96,50.91
23.21,1.2,16.12
11.46,1.05,10.4
8.06,0.46,38.1
3.68,0.51,14.15
2.7,0.48,11.72
11.83,0.59,33.99
3.07,0.4,19.19
4.07,0.53,14.49
11.04,0.42,62.59
20.16,0.66,46.29
2.48,0.42,14.06
16.62,0.55,54.95
3.06,0.4,19.13
2.83,0.43,15.31
