peso,altezza,bmi
2.91,2.04,0.7
106.03,1.14,81.59
476.78,0.61,1281.33
2.4,1.12,1.92
2.44,0.92,2.89
48.61,0.4,303.82
2.61,1.52,1.13
46.62,0.48,202.35
2.41,0.6,6.7
215.82,0.52,798.16
2.44,0.62,6.35
4.23,1.59,1.68
17.12,0.45,84.55
336.07,0.4,2100.44
46.13,0.42,261.51
4.17,2.5,0.67
422.75,0.57,1301.17
14.68,2.26,2.88
57.56,0.49,239.74
22.56,0.46,106.62
393.66,0.43,2129.05
2.83,0.99,2.89
2.49,1.76,0.81
4.29,0.82,6.39
14.62,2.39,2.56
2.48,0.62,6.46
500.0,0.47,2263.47
2.47,1.71,0.85
2.73,0.97,2.91
2.5,0.77,4.22
9.4,1.07,8.22
2.76,1.19,1.95
2.56,2.22,0.52
6.25,1.11,5.08
2.4,0.56,7.66
287.42,0.42,1629.37
354.63,0.99,361.84
2.62,0.95,2.91
139.54,1.06,124.2
15.11,2.0,3.78
47.45,2.29,9.05
2.53,1.81,0.78
468.85,0.43,2535.7
2.84,0.99,2.9
2.47,0.64,6.04
2.8,1.99,0.71
481.37,0.49,2004.88
124.42,0.41,740.16
2.52,1.11,2.05
3.8,2.01,0.95
3.54,1.06,3.16
2.46,2.19,0.52
2.46,0.54,8.44
90.19,0.41,536.53
2.98,0.64,7.28
27.69,0.4,173.07
3.04,0.97,3.24
15.07,0.43,81.51
5.98,1.07,5.23
2.85,0.83,4.14
2.52,0.57,7.76
482.36,0.6,1339.89
2.56,0.56,8.17
9.01,2.39,1.58
2.54,0.59,7.3
365.17,0.9,450.83
42.42,0.42,240.48
4.39,0.99,4.48
20.22,0.45,99.86
168.11,0.51,646.33
11.52,1.1,9.53
2.51,2.0,0.63
47.67,0.49,198.55
463.94,0.46,2192.54
2.4,0.59,6.9
2.46,0.76,4.26
15.61,0.43,84.43
202.97,1.0,202.97
2.83,0.83,4.11
55.39,0.56,176.63
2.46,2.15,0.54
7.87,1.5,3.5
2.56,0.98,2.67
44.35,2.4,7.7
2.94,0.82,4.38
297.83,0.64,727.13
2.49,0.82,3.71
270.85,0.86,366.22
55.79,0.45,275.51
2.85,1.52,1.24
500.0,0.51,1922.34
14.33,2.5,2.3
2.42,0.94,2.74
2.42,1.07,2.12
7.15,0.88,9.24
2.51,1.87,0.72
288.0,0.43,1557.6
2.6,0.87,3.44
2.45,1.1,2.03
2.47,2.47,0.41
87.57,0.77,147.7
19.53,0.42,110.72
500.0,0.45,2469.14
2.66,1.02,2.56
41.13,0.51,158.14
41.19,0.54,141.26
2.59,1.57,1.06
7.77,1.33,4.4
2.58,0.64,6.3
7.3,2.23,1.47
494.92,0.94,560.12
71.26,0.5,285.05
44.25,0.73,83.04
162.6,0.51,625.15
4.34,1.09,3.66
2.54,1.79,0.8
2.54,1.38,1.34
231.94,1.66,84.18
166.76,1.0,166.76
3.12,0.57,9.61
83.83,0.97,89.1
335.54,0.43,1814.72
94.55,1.0,94.55
78.33,0.58,232.85
2.61,1.24,1.7
2.58,0.8,4.04
2.69,2.16,0.58
3.05,1.48,1.4
337.25,1.03,317.9
2.83,0.79,4.54
300.17,0.58,892.31
2.47,0.98,2.58
197.39,1.53,84.33
2.4,0.62,6.25
2.8,1.26,1.77
4.47,2.18,0.95
105.75,0.57,325.49
2.4,0.7,4.9
193.38,0.43,1045.87
173.2,0.59,497.56
2.42,0.72,4.67
500.0,2.2,103.31
2.46,0.76,4.26
422.97,0.58,1257.35
482.4,0.51,1854.68
2.43,0.51,9.35
2.46,2.5,0.4
4.25,0.79,6.81
2.45,1.0,2.46
2.99,1.02,2.88
182.82,0.54,626.96
2.82,0.63,7.11
2.4,0.95,2.66
500.0,0.41,2974.42
25.19,0.44,130.12
458.84,0.44,2370.05
164.24,0.85,227.33
392.19,0.48,1702.22
2.85,0.6,7.92
500.0,0.55,1652.9
6.71,1.88,1.9
2.43,1.0,2.44
5.19,0.78,8.54
159.87,0.44,825.78
4.52,2.21,0.93
81.64,0.93,94.4
4.13,2.45,0.69
38.33,0.4,239.57
2.42,2.42,0.42
500.0,2.2,103.31
2.54,0.66,5.84
2.9,1.76,0.94
2.61,1.27,1.62
2.4,2.22,0.49
8.45,2.42,1.45
3.27,0.86,4.43
2.41,2.45,0.41
28.24,0.5,112.96
2.91,0.71,5.78
2.42,0.71,4.81
3.37,0.69,7.08
213.28,0.89,269.26
18.59,2.41,3.21
146.76,0.58,436.27
2.44,1.96,0.64
2.46,0.66,5.65
175.19,0.49,729.66
2.57,1.02,2.48
3.72,2.45,0.62
34.28,0.44,177.07
2.4,1.69,0.85
127.72,1.08,109.5
15.97,2.18,3.37
11.68,1.36,6.32
2.51,1.41,1.27
2.76,0.78,4.54
46.49,0.45,229.59
50.9,0.42,288.55
92.11,0.93,106.5
2.78,0.64,6.79
188.14,0.41,1119.22
4.23,1.04,3.92
2.44,2.23,0.5
225.07,1.05,204.15
2.4,1.41,1.21
3.59,1.05,3.26
3.06,0.78,5.03
2.47,0.54,8.48
2.53,1.0,2.53
2.54,2.16,0.55
113.83,1.04,105.25
3.74,0.69,7.86
52.38,0.75,93.12
2.73,0.55,9.03
161.43,0.55,533.66
500.0,0.42,2834.47
2.4,0.54,8.24
3.0,0.85,4.16
2.95,0.61,7.93
16.25,1.46,7.63
33.4,0.41,198.7
28.54,0.4,178.38
17.75,1.41,8.93
93.23,1.05,84.57
34.52,0.41,205.36
340.06,0.59,976.91
2.4,0.74,4.39
20.2,1.53,8.63
189.12,0.7,385.96
13.83,2.5,2.22
21.03,1.83,6.28
3.32,0.6,9.23
413.34,0.4,2583.38
500.0,2.35,90.54
2.53,0.58,7.53
32.53,0.43,175.94
3.82,1.3,2.27
500.0,1.27,310.01
5.71,0.84,8.1
2.45,1.82,0.74
3.34,0.82,4.97
154.65,0.41,919.99
92.96,0.46,439.32
3.29,0.61,8.85
421.73,0.81,642.79
86.97,0.59,249.85
2.51,0.99,2.57
69.64,0.43,376.64
98.29,0.43,531.59
2.44,2.11,0.55
19.72,0.41,117.32
123.75,0.7,252.56
18.02,0.41,107.2
2.42,1.62,0.93
2.48,1.6,0.97
457.51,1.24,297.55
119.25,1.02,114.62
2.91,0.72,5.62
2.6,1.02,2.5
2.94,1.42,1.46
3.72,0.92,4.4
379.68,0.6,1054.67
2.4,1.13,1.88
3.0,1.78,0.95
2.58,0.73,4.85
2.87,1.93,0.78
3.07,0.59,8.82
77.28,0.63,194.71
2.95,0.75,5.25
3.93,0.67,8.76
3.02,0.57,9.3
206.0,1.05,186.85
5.37,1.0,5.37
460.18,0.45,2272.5
28.31,0.49,117.91
260.04,1.0,260.05
500.0,1.82,150.95
2.83,0.87,3.74
45.68,0.43,247.06
17.32,2.28,3.34
54.42,0.81,82.95
3.83,1.04,3.55
2.75,0.6,7.64
18.61,0.43,100.65
2.56,0.68,5.54
2.44,0.61,6.56
326.41,0.4,2040.07
2.41,1.26,1.52
254.25,0.41,1512.5
2.44,0.91,2.95
43.06,0.45,212.65
3.15,2.39,0.56
15.17,0.4,94.82
2.4,0.78,3.95
194.21,0.59,557.92
2.5,2.5,0.4
500.0,0.58,1486.33
19.03,0.47,86.15
154.22,0.85,213.46
110.29,0.44,569.68
2.46,1.0,2.46
49.5,0.42,280.62
3.06,1.4,1.57
4.87,1.0,4.87
3.02,2.32,0.57
18.2,0.44,94.01
51.27,0.4,320.44
2.42,0.95,2.69
2.56,0.96,2.78
2.67,0.89,3.38
2.5,0.98,2.61
405.57,0.44,2094.89
4.49,0.97,4.78
117.81,0.56,375.67
301.03,0.92,355.66
130.43,0.64,318.44
2.54,0.76,4.4
310.15,1.0,310.15
9.22,1.65,3.39
36.24,2.24,7.23
7.16,0.9,8.84
2.4,0.51,9.23
444.07,0.86,600.42
97.6,0.4,610.0
11.87,1.56,4.88
86.95,0.42,492.92
257.31,0.78,422.93
415.51,1.48,189.7
415.52,0.67,925.65
2.54,1.05,2.31
500.0,0.44,2582.65
7.56,2.37,1.35
5.35,0.85,7.41
370.39,0.52,1369.79
2.95,0.58,8.77
55.93,0.45,276.2
2.58,0.76,4.47
2.5,1.45,1.19
2.99,0.62,7.78
20.03,0.45,98.92
3.35,0.59,9.63
3.36,2.09,0.77
47.83,0.42,271.15
2.48,1.08,2.13
2.69,0.84,3.82
63.1,0.42,357.71
500.0,0.41,2974.42
31.2,0.5,124.8
41.83,0.51,160.83
16.54,0.42,93.77
4.32,1.75,1.42
2.58,2.3,0.49
244.08,0.45,1205.34
52.3,0.44,270.15
2.43,2.5,0.39
33.86,0.61,91.0
7.24,0.93,8.38
345.27,1.06,307.29
3.04,0.58,9.04
69.53,0.62,180.88
2.47,0.61,6.64
4.01,1.71,1.38
7.21,2.05,1.72
2.45,2.19,0.52
22.92,0.41,136.35
3.96,0.81,6.04
432.54,0.96,469.34
4.28,1.78,1.36
2.42,0.5,9.68
2.46,0.62,6.4
2.59,0.55,8.57
2.47,1.55,1.03
500.0,1.59,197.78
2.69,2.39,0.48
2.4,1.49,1.09
500.0,1.68,177.16
141.65,1.1,117.07
496.53,0.46,2346.56
2.4,2.5,0.39
3.48,1.52,1.51
3.08,2.21,0.64
95.18,0.44,491.64
2.4,0.75,4.27
39.47,0.55,130.48
440.14,0.57,1354.7
16.71,0.4,104.44
2.47,0.54,8.48
163.9,0.44,846.6
2.82,1.08,2.42
2.7,0.61,7.26
2.44,2.2,0.51
2.4,0.85,3.33
46.19,0.55,152.7
207.61,0.69,436.07
6.34,0.84,8.99
2.81,0.6,7.81
2.4,0.61,6.45
2.74,0.57,8.44
2.53,1.31,1.48
2.51,2.37,0.45
384.4,0.91,464.2
9.28,1.0,9.28
2.57,0.61,6.91
168.49,0.86,227.82
49.19,2.49,7.94
500.0,0.59,1436.37
30.31,2.1,6.88
500.0,0.53,1780.0
91.61,0.71,181.73
421.5,1.51,184.87
182.03,0.61,489.2
3.76,1.84,1.12
380.66,1.0,380.66
446.01,0.88,575.95
2.5,0.56,7.98
2.46,0.77,4.15
333.07,0.54,1142.22
5.11,1.35,2.81
442.56,0.41,2632.72
2.9,0.73,5.45
9.7,2.08,2.25
243.78,1.05,221.12
8.68,0.96,9.42
2.41,0.55,7.97
61.03,0.54,209.3
2.43,0.99,2.48
9.5,2.47,1.56
2.47,2.47,0.41
2.41,1.21,1.65
2.4,1.58,0.97
69.19,0.4,432.44
500.0,0.45,2469.14
4.55,0.78,7.48
3.14,1.12,2.51
2.92,0.87,3.86
71.37,0.43,386.0
32.58,0.55,107.71
2.46,0.6,6.84
48.43,2.34,8.85
435.98,0.46,2060.4
