peso,altezza,bmi
154.94,2.44,26.03
15.71,1.06,13.99
9.73,0.83,14.13
3.88,0.6,10.78
2.76,0.4,17.25
2.51,0.49,10.46
8.54,0.4,53.38
56.6,0.94,64.06
263.77,2.49,42.55
167.28,1.55,69.63
4.89,0.51,18.81
4.05,0.45,20.0
3.05,0.54,10.46
24.77,0.9,30.59
52.97,1.05,48.05
2.45,0.4,15.32
3.98,0.56,12.7
2.4,0.4,15.0
14.28,0.61,38.38
2.46,0.44,12.71
4.25,0.5,17.0
2.4,0.42,13.61
5.07,0.52,18.75
69.44,2.37,12.37
5.58,0.46,26.38
11.38,0.43,61.55
2.45,0.42,13.89
2.46,0.43,13.31
8.14,0.57,25.06
2.99,0.42,16.96
2.43,0.41,14.46
3.99,0.53,14.21
68.15,1.71,23.31
110.34,1.61,42.57
14.71,0.6,40.87
2.41,0.48,10.47
9.87,0.44,50.99
6.67,0.78,10.97
2.42,0.43,13.09
106.95,2.5,17.12
2.6,0.42,14.74
11.11,0.96,12.06
48.35,0.83,70.19
3.6,0.57,11.09
22.48,1.0,22.48
3.93,0.44,20.3
4.1,0.49,17.08
3.56,0.45,17.59
4.18,0.58,12.43
500.0,2.5,80.0
2.4,0.4,15.0
3.91,0.52,14.47
10.74,0.46,50.76
2.98,0.43,16.12
2.45,0.4,15.32
2.46,0.44,12.71
19.48,0.75,34.64
3.94,0.58,11.72
9.2,0.51,35.38
3.06,0.44,15.81
35.41,0.75,62.96
347.76,2.16,74.54
3.29,0.4,20.57
9.75,0.85,13.5
2.58,0.42,14.63
3.07,0.44,15.86
211.2,1.88,59.76
2.48,0.4,15.5
2.52,0.42,14.29
10.98,0.61,29.51
3.01,0.49,12.54
6.12,0.67,13.64
2.65,0.48,11.51
57.18,1.23,37.8
14.19,0.51,54.56
251.61,1.86,72.73
126.83,1.8,39.15
15.63,0.46,73.87
14.89,0.6,41.37
9.84,0.4,61.5
62.56,1.5,27.81
20.4,0.69,42.85
7.32,0.49,30.49
14.12,0.43,76.37
2.4,0.43,12.98
2.58,0.45,12.75
17.23,0.77,29.07
4.58,0.53,16.31
166.28,1.7,57.54
2.42,0.43,13.09
8.13,0.43,43.97
122.74,1.95,32.28
2.88,0.47,13.04
19.17,0.59,55.08
2.4,0.4,15.0
2.44,0.46,11.54
4.75,0.45,23.46
4.32,0.43,23.37
6.84,0.41,40.7
15.35,0.94,17.38
2.78,0.5,11.12
2.46,0.41,14.64
2.55,0.4,15.94
3.91,0.46,18.48
2.94,0.48,12.77
2.44,0.43,13.2
16.04,0.47,72.62
11.03,0.5,44.12
3.76,0.52,13.91
5.18,0.58,15.4
4.08,0.56,13.02
12.25,0.42,69.45
7.22,0.79,11.57
2.55,0.44,13.18
13.11,0.41,77.99
13.2,0.46,62.39
2.51,0.43,13.58
14.77,0.57,45.47
9.54,0.41,56.76
406.96,2.33,74.97
9.5,0.51,36.53
3.84,0.61,10.32
49.08,1.42,24.35
4.78,0.59,13.74
53.02,0.99,54.1
19.84,0.98,20.66
4.06,0.56,12.95
2.4,0.46,11.35
13.27,0.46,62.72
17.1,0.47,77.42
214.18,2.4,37.19
20.03,1.32,11.5
3.04,0.47,13.77
2.4,0.45,11.86
4.41,0.45,21.78
12.22,0.73,22.94
8.9,0.42,50.46
2.46,0.45,12.15
18.62,0.97,19.79
12.84,0.44,66.33
20.76,1.18,14.91
38.42,1.1,31.76
2.48,0.46,11.73
2.4,0.44,12.4
2.51,0.44,12.97
167.11,1.76,53.95
3.24,0.56,10.34
4.85,0.44,25.06
208.17,1.89,58.28
28.14,0.73,52.81
6.14,0.4,38.38
3.04,0.46,14.37
8.09,0.76,14.01
4.13,0.53,14.71
5.06,0.5,20.24
91.25,2.5,14.6
21.84,0.58,64.93
23.52,0.77,39.67
16.97,0.49,70.68
2.49,0.44,12.87
4.45,0.41,26.48
6.1,0.42,34.59
2.82,0.4,17.63
11.45,0.41,68.12
4.24,0.47,19.2
4.92,0.64,12.02
17.07,1.0,17.07
7.63,0.61,20.51
4.31,0.59,12.39
2.56,0.47,11.59
2.91,0.43,15.74
20.79,0.7,42.43
2.69,0.42,15.25
2.98,0.4,18.63
4.93,0.57,15.18
52.9,1.44,25.52
12.52,0.4,78.25
2.51,0.46,11.87
2.94,0.41,17.49
7.39,0.45,36.5
2.76,0.45,13.63
4.94,0.52,18.27
2.48,0.4,15.5
3.88,0.45,19.17
2.94,0.48,12.77
4.37,0.45,21.59
5.58,0.4,34.88
2.61,0.49,10.88
6.36,0.53,22.65
2.46,0.4,15.38
38.46,1.68,13.63
2.68,0.46,12.67
5.62,0.65,13.31
64.19,1.0,64.19
5.62,0.62,14.63
3.27,0.41,19.46
11.61,1.02,11.16
7.53,0.79,12.07
2.75,0.48,11.94
2.82,0.44,14.57
14.09,0.91,17.02
4.35,0.45,21.49
3.01,0.51,11.58
13.82,0.9,17.07
7.77,0.6,21.59
2.41,0.45,11.91
3.38,0.5,13.52
15.92,1.0,15.92
2.5,0.45,12.35
2.4,0.4,15.0
3.95,0.48,17.15
6.65,0.46,31.43
3.9,0.46,18.44
9.21,0.44,47.58
22.96,0.95,25.45
12.33,0.54,42.29
10.41,0.5,41.64
7.12,0.41,42.36
19.72,0.52,72.93
15.59,0.93,18.03
3.94,0.4,24.63
2.4,0.46,11.35
4.41,0.48,19.15
3.07,0.42,17.41
2.6,0.41,15.47
5.85,0.44,30.22
35.57,1.51,15.61
35.5,0.99,36.23
27.98,0.65,66.23
7.25,0.75,12.89
2.4,0.44,12.4
5.93,0.44,30.64
2.41,0.43,13.04
3.44,0.58,10.23
33.63,1.33,19.02
2.52,0.47,11.41
39.84,0.9,49.19
2.53,0.41,15.06
34.1,0.72,65.78
199.01,2.31,37.3
15.55,0.49,64.77
54.35,0.87,71.81
3.59,0.42,20.36
113.75,2.31,21.32
3.07,0.41,18.27
2.61,0.47,11.82
2.59,0.43,14.01
7.91,0.55,26.15
2.58,0.46,12.2
3.88,0.58,11.54
15.4,0.45,76.05
49.25,1.88,13.94
2.49,0.44,12.87
15.49,0.55,51.21
12.32,0.55,40.73
3.45,0.41,20.53
2.42,0.42,13.72
7.51,0.5,30.04
2.4,0.42,13.61
2.45,0.48,10.64
2.41,0.4,15.07
10.42,0.48,45.23
3.65,0.43,19.75
14.7,0.44,75.93
69.79,2.04,16.77
8.35,0.6,23.2
244.47,2.46,40.4
111.15,2.5,17.79
8.4,0.43,45.43
4.92,0.49,20.5
109.47,1.48,49.98
9.5,0.41,56.52
12.72,0.6,35.34
2.97,0.43,16.07
2.4,0.48,10.42
302.87,2.12,67.39
8.84,0.4,55.25
4.59,0.43,24.83
10.57,0.4,66.07
10.64,0.97,11.31
4.65,0.42,26.37
45.7,0.86,61.8
140.01,2.05,33.32
2.41,0.44,12.45
62.15,0.96,67.44
2.51,0.45,12.4
2.42,0.41,14.4
3.11,0.46,14.7
6.53,0.42,37.02
3.65,0.45,18.03
30.4,1.24,19.78
19.36,0.75,34.42
2.85,0.41,16.96
5.8,0.49,24.16
3.97,0.56,12.66
83.29,1.62,31.74
2.5,0.44,12.92
8.82,0.52,32.62
3.98,0.4,24.88
3.5,0.52,12.95
2.66,0.43,14.39
14.73,0.59,42.32
2.53,0.4,15.82
3.01,0.44,15.55
2.59,0.46,12.25
62.72,0.96,68.06
6.93,0.7,14.15
2.5,0.4,15.63
4.2,0.47,19.02
2.49,0.4,15.57
6.18,0.76,10.7
15.68,0.48,68.06
19.84,0.66,45.55
2.4,0.49,10.0
24.91,0.85,34.48
5.28,0.62,13.74
4.41,0.46,20.85
36.76,0.78,60.43
2.4,0.43,12.98
20.38,0.73,38.25
2.54,0.42,14.4
3.39,0.57,10.44
14.46,0.48,62.77
63.55,1.31,37.04
50.31,1.01,49.32
352.48,2.45,58.73
2.41,0.41,14.34
3.89,0.6,10.81
88.74,2.13,19.56
2.79,0.5,11.16
4.36,0.4,27.25
124.01,1.38,65.12
18.24,1.06,16.24
85.61,1.47,39.62
2.89,0.52,10.69
52.76,1.89,14.78
2.92,0.46,13.8
2.53,0.4,15.82
3.86,0.41,22.97
2.42,0.42,13.72
