peso,altezza,bmi
170.53,0.49,710.25
8.32,2.29,1.59
92.0,0.76,159.28
96.4,0.97,102.46
2.43,0.71,4.83
2.54,1.24,1.66
3.04,0.88,3.93
6.38,1.0,6.38
2.41,1.0,2.41
2.4,1.0,2.4
4.29,1.04,3.97
2.81,0.59,8.08
4.39,2.45,0.74
2.6,0.53,9.26
2.5,0.61,6.72
2.54,1.02,2.45
7.81,1.92,2.12
244.29,0.45,1206.38
5.96,0.88,7.7
5.52,1.0,5.52
8.35,2.08,1.94
147.68,0.58,439.01
2.45,0.65,5.8
2.43,0.76,4.21
2.4,0.55,7.94
2.4,2.5,0.39
145.79,0.48,632.77
500.0,1.0,500.0
145.16,0.89,183.26
498.01,0.6,1383.37
199.75,0.43,1080.32
4.75,1.16,3.54
447.18,1.91,122.58
246.94,0.53,879.11
38.46,0.61,103.36
5.79,1.0,5.79
2.81,1.09,2.37
50.64,0.6,140.67
2.73,2.39,0.48
270.31,0.44,1396.23
2.41,2.36,0.44
34.26,0.56,109.25
447.72,0.74,817.61
2.58,1.03,2.44
2.98,1.33,1.69
56.3,0.61,151.31
2.77,0.64,6.77
87.15,0.69,183.05
454.4,2.09,104.03
2.42,0.62,6.3
2.57,1.22,1.73
2.44,0.57,7.52
500.0,0.4,3125.0
122.8,0.75,218.32
3.98,1.61,1.54
9.04,1.0,9.04
500.0,0.58,1486.33
500.0,0.42,2834.47
6.95,1.03,6.56
2.4,0.95,2.66
2.42,0.52,8.95
19.55,0.46,92.4
32.16,0.59,92.39
2.45,0.6,6.81
471.82,0.41,2806.79
119.99,0.85,166.08
3.24,2.34,0.6
2.42,1.56,1.0
5.33,2.5,0.86
2.4,0.79,3.85
2.61,0.53,9.3
23.1,0.46,109.17
2.87,0.82,4.27
2.61,2.25,0.52
500.0,1.98,127.54
8.48,1.0,8.48
257.62,0.43,1393.3
399.57,0.69,839.26
2.46,0.54,8.44
2.79,0.55,9.23
2.56,0.61,6.88
468.32,0.51,1800.54
54.18,0.47,245.27
75.15,0.73,141.03
7.46,1.81,2.28
2.76,1.47,1.28
2.74,1.69,0.96
2.7,0.94,3.06
2.54,1.19,1.8
223.94,0.6,622.06
2.42,1.74,0.8
500.0,0.6,1388.89
500.0,0.41,2974.42
140.97,0.4,881.07
8.14,2.23,1.64
2.45,0.58,7.29
3.39,1.65,1.25
199.24,0.89,251.54
2.4,1.3,1.43
50.61,0.5,202.44
14.84,2.5,2.38
17.93,0.4,112.07
2.56,1.35,1.41
115.67,0.81,176.3
2.47,2.07,0.58
31.99,0.42,181.35
2.92,1.93,0.79
259.86,0.55,859.05
13.96,2.45,2.33
121.02,0.55,400.07
23.47,1.88,6.65
123.89,0.53,441.05
432.28,0.6,1200.78
2.4,0.6,6.67
13.27,2.28,2.56
427.25,1.66,155.05
2.4,0.6,6.67
3.17,0.74,5.79
500.0,2.4,86.81
492.19,0.43,2661.93
2.57,0.73,4.83
2.61,1.61,1.01
5.39,1.07,4.71
19.3,0.43,104.39
9.22,1.29,5.55
99.62,0.8,155.66
2.41,0.64,5.89
6.4,1.24,4.17
236.89,0.55,783.11
170.47,0.9,210.46
3.81,1.66,1.39
2.64,1.33,1.5
388.31,1.03,366.02
16.51,1.53,7.06
2.87,0.63,7.24
6.13,1.22,4.12
5.76,0.8,9.0
2.46,1.11,2.0
120.18,0.82,178.74
2.67,0.53,9.51
2.44,0.59,7.01
41.1,0.43,222.29
112.24,0.44,579.76
3.91,1.14,3.01
2.45,0.87,3.24
8.61,1.72,2.92
3.7,0.79,5.93
2.42,0.56,7.72
2.84,2.16,0.61
2.88,0.63,7.26
3.12,1.37,1.67
179.57,0.41,1068.24
162.62,0.54,557.69
3.06,0.79,4.91
386.64,0.47,1750.3
2.46,1.46,1.16
3.49,0.65,8.27
144.42,0.61,388.13
251.18,0.82,373.56
212.24,0.56,676.79
8.2,0.98,8.54
2.83,1.4,1.45
2.55,0.86,3.45
99.7,0.52,368.72
2.84,0.55,9.39
3.48,2.31,0.66
5.58,1.56,2.3
2.83,0.59,8.13
2.48,0.61,6.67
500.0,0.55,1652.9
2.4,0.78,3.95
500.0,1.18,359.1
2.4,0.5,9.6
432.58,0.43,2339.54
2.51,0.54,8.61
57.69,0.59,165.73
54.3,0.45,268.15
4.36,0.68,9.43
375.83,0.41,2235.76
25.07,0.45,123.81
8.07,2.41,1.39
2.85,0.56,9.09
3.01,0.89,3.81
2.41,0.76,4.18
233.74,0.4,1460.88
165.01,0.6,458.37
46.65,0.57,143.59
16.89,0.44,87.25
2.4,0.53,8.55
2.43,0.58,7.23
4.07,2.04,0.98
393.16,1.04,363.5
4.62,0.75,8.22
2.48,1.03,2.34
3.07,1.35,1.69
3.96,0.94,4.49
2.65,0.91,3.21
3.04,0.57,9.36
2.5,1.75,0.82
2.53,0.96,2.75
491.95,1.06,437.84
2.48,0.57,7.64
29.28,0.58,87.04
2.4,1.6,0.94
206.18,0.68,445.9
2.45,0.66,5.63
18.92,0.44,97.73
2.64,1.38,1.39
2.4,0.5,9.6
20.14,0.46,95.18
12.13,2.5,1.95
24.78,0.46,117.11
500.0,0.5,2000.0
4.32,0.89,5.46
500.0,0.44,2582.65
2.82,0.66,6.48
2.45,1.62,0.94
2.81,0.59,8.08
6.3,2.28,1.22
141.55,0.4,884.69
369.55,1.59,146.18
2.55,2.5,0.41
414.53,0.46,1959.03
75.13,0.47,340.11
357.94,0.7,730.49
479.76,2.07,111.97
2.81,1.01,2.76
13.75,0.4,85.94
2.42,0.86,3.28
2.93,0.97,3.12
3.05,0.56,9.73
4.67,1.87,1.34
500.0,0.48,2170.14
63.04,0.45,311.31
2.4,1.03,2.27
2.41,0.52,8.92
387.83,1.05,351.78
2.4,1.53,1.03
3.76,1.06,3.35
2.87,0.62,7.47
3.61,1.08,3.1
260.49,0.5,1041.96
46.92,0.4,293.25
2.55,1.02,2.46
19.71,0.43,106.6
426.31,0.89,538.21
2.4,0.55,7.94
4.87,0.97,5.18
2.57,0.98,2.68
2.43,0.71,4.83
2.45,0.5,9.81
295.35,0.45,1458.52
367.41,0.74,670.95
155.15,0.42,879.54
2.42,1.37,1.29
4.3,2.03,1.05
352.63,0.48,1530.52
37.48,0.51,144.1
4.24,1.46,1.99
3.34,0.75,5.94
42.02,0.41,249.98
2.45,2.22,0.5
35.81,2.06,8.44
33.99,2.5,5.44
165.31,0.61,444.27
2.81,1.63,1.06
3.85,0.85,5.33
2.63,0.86,3.56
123.65,0.88,159.68
45.65,0.69,95.89
358.88,0.4,2243.0
462.99,0.93,535.32
21.92,2.5,3.51
2.56,1.06,2.28
3.5,1.98,0.9
2.45,0.62,6.38
40.76,0.44,210.54
4.05,1.74,1.34
500.0,2.12,111.25
3.25,1.33,1.84
2.41,0.59,6.93
2.43,1.03,2.3
34.24,0.57,105.39
3.72,0.72,7.18
2.46,1.58,0.99
2.53,1.76,0.82
2.99,0.56,9.54
2.41,0.55,7.97
500.0,1.0,500.0
2.42,1.34,1.35
2.49,1.52,1.08
166.23,0.41,988.88
147.12,0.46,695.28
2.42,0.52,8.95
450.55,0.4,2815.94
3.0,0.87,3.97
16.67,0.45,82.33
2.4,0.62,6.25
6.7,2.35,1.22
54.02,0.63,136.11
7.56,1.33,4.28
2.74,1.53,1.18
3.43,1.67,1.23
2.6,2.14,0.57
7.64,1.03,7.21
2.52,0.88,3.26
2.48,2.19,0.52
2.42,2.35,0.44
349.56,0.78,574.56
2.49,1.35,1.37
398.47,0.79,638.48
20.09,1.98,5.13
17.5,0.41,104.11
2.68,2.25,0.53
2.9,1.96,0.76
401.06,0.57,1234.42
16.92,1.79,5.29
3.04,0.92,3.6
3.48,0.94,3.94
3.25,0.58,9.67
224.07,0.45,1106.52
2.86,0.55,9.46
315.69,0.62,821.26
86.47,0.52,319.79
500.0,0.44,2582.65
36.97,2.37,6.59
3.45,0.92,4.08
111.05,0.43,600.6
17.33,0.42,98.25
2.44,0.55,8.07
2.44,1.85,0.72
50.54,0.73,94.84
